,Names,Noms,Type,PV,Attaque,Attaque Spéciale,Défense,Défense Spéciale,Vitesse,Génération,Somme Stats,Moyenne Statistique
60,Poliwhirl,Têtarte,['Eau'],65,65,50,65,50,90,1,385,64.17
61,Poliwrath,Tartard,"['Eau', 'Combat']",90,95,70,95,90,70,1,510,85.0
62,Abra,Abra,['Psy'],25,20,105,15,55,90,1,310,51.67
63,Kadabra,Kadabra,['Psy'],40,35,120,30,70,105,1,400,66.67
64,Alakazam,Alakazam,['Psy'],55,50,135,45,95,120,1,500,83.33
65,Machop,Machoc,['Combat'],70,80,35,50,35,35,1,305,50.83
66,Machoke,Machopeur,['Combat'],80,100,50,70,60,45,1,405,67.5
67,Machamp,Mackogneur,['Combat'],90,130,65,80,85,55,1,505,84.17
68,Bellsprout,Chétiflor,"['Plante', 'Poison']",50,75,70,35,30,40,1,300,50.0
69,Weepinbell,Boustiflor,"['Plante', 'Poison']",65,90,85,50,45,55,1,390,65.0
70,Victreebel,Empiflor,"['Plante', 'Poison']",80,105,100,65,70,70,1,490,81.67
71,Tentacool,Tentacool,"['Eau', 'Poison']",40,40,50,35,100,70,1,335,55.83
72,Tentacruel,Tentacruel,"['Eau', 'Poison']",80,70,80,65,120,100,1,515,85.83
73,Geodude,Racaillou,"['Roche', 'Sol']",40,80,30,100,30,20,1,300,50.0
74,Graveler,Gravalanch,"['Roche', 'Sol']",55,95,45,115,45,35,1,390,65.0
75,Golem,Grolem,"['Roche', 'Sol']",80,120,55,130,65,45,1,495,82.5
76,Ponyta,Ponyta,['Feu'],50,85,65,55,65,90,1,410,68.33
77,Rapidash,Galopa,['Feu'],65,100,80,70,80,105,1,500,83.33
78,Slowpoke,Ramoloss,"['Eau', 'Psy']",90,65,40,65,40,15,1,315,52.5
79,Slowbro,Flagadoss,"['Eau', 'Psy']",95,75,100,110,80,30,1,490,81.67
80,Magnemite,Magnéti,"['Électrik', 'Acier']",25,35,95,70,55,45,1,325,54.17
81,Magneton,Magnéton,"['Électrik', 'Acier']",50,60,120,95,70,70,1,465,77.5
82,Farfetch'd,Canarticho,"['Normal', 'Vol']",52,90,58,55,62,60,1,377,62.83
83,Doduo,Doduo,"['Normal', 'Vol']",35,85,35,45,35,75,1,310,51.67
84,Dodrio,Dodrio,"['Normal', 'Vol']",60,110,60,70,60,110,1,470,78.33
85,Seel,Otaria,['Eau'],65,45,45,55,70,45,1,325,54.17
86,Dewgong,Lamantine,"['Eau', 'Glace']",90,70,70,80,95,70,1,475,79.17
87,Grimer,Tadmorv,['Poison'],80,80,40,50,50,25,1,325,54.17
88,Muk,Grotadmorv,['Poison'],105,105,65,75,100,50,1,500,83.33
89,Shellder,Kokiyas,['Eau'],30,65,45,100,25,40,1,305,50.83
90,Cloyster,Crustabri,"['Eau', 'Glace']",50,95,85,180,45,70,1,525,87.5
91,Gastly,Fantominus,"['Spectre', 'Poison']",30,35,100,30,35,80,1,310,51.67
92,Haunter,Spectrum,"['Spectre', 'Poison']",45,50,115,45,55,95,1,405,67.5
93,Gengar,Ectoplasma,"['Spectre', 'Poison']",60,65,130,60,75,110,1,500,83.33
94,Onix,Onix,"['Roche', 'Sol']",35,45,30,160,45,70,1,385,64.17
95,Drowzee,Soporifik,['Psy'],60,48,43,45,90,42,1,328,54.67
96,Hypno,Hypnomade,['Psy'],85,73,73,70,115,67,1,483,80.5
97,Krabby,Krabby,['Eau'],30,105,25,90,25,50,1,325,54.17
98,Kingler,Krabboss,['Eau'],55,130,50,115,50,75,1,475,79.17
99,Voltorb,Voltorbe,['Électrik'],40,30,55,50,55,100,1,330,55.0
100,Electrode,Électrode,['Électrik'],60,50,80,70,80,150,1,490,81.67
101,Exeggcute,Noeunoeuf,"['Plante', 'Psy']",60,40,60,80,45,40,1,325,54.17
102,Exeggutor,Noadkoko,"['Plante', 'Psy']",95,95,125,85,75,55,1,530,88.33
103,Cubone,Osselait,['Sol'],50,50,40,95,50,35,1,320,53.33
104,Marowak,Ossatueur,['Sol'],60,80,50,110,80,45,1,425,70.83
105,Hitmonlee,Kicklee,['Combat'],50,120,35,53,110,87,1,455,75.83
106,Hitmonchan,Tygnon,['Combat'],50,105,35,79,110,76,1,455,75.83
107,Lickitung,Excelangue,['Normal'],90,55,60,75,75,30,1,385,64.17
108,Koffing,Smogo,['Poison'],40,65,60,95,45,35,1,340,56.67
109,Weezing,Smogogo,['Poison'],65,90,85,120,70,60,1,490,81.67
110,Rhyhorn,Rhinocorne,"['Sol', 'Roche']",80,85,30,95,30,25,1,345,57.5
111,Rhydon,Rhinoféros,"['Sol', 'Roche']",105,130,45,120,45,40,1,485,80.83
112,Chansey,Leveinard,['Normal'],250,5,35,5,105,50,1,450,75.0
113,Tangela,Saquedeneu,['Plante'],65,55,100,115,40,60,1,435,72.5
114,Kangaskhan,Kangourex,['Normal'],105,95,40,80,80,90,1,490,81.67
115,Horsea,Hypotrempe,['Eau'],30,40,70,70,25,60,1,295,49.17
116,Seadra,Hypocéan,['Eau'],55,65,95,95,45,85,1,440,73.33
117,Goldeen,Poissirène,['Eau'],45,67,35,60,50,63,1,320,53.33
118,Seaking,Poissoroy,['Eau'],80,92,65,65,80,68,1,450,75.0
119,Staryu,Stari,['Eau'],30,45,70,55,55,85,1,340,56.67
120,Starmie,Staross,"['Eau', 'Psy']",60,75,100,85,85,115,1,520,86.67
121,Mr. Mime,M. Mime,"['Psy', 'Fée']",40,45,100,65,120,90,1,460,76.67
122,Scyther,Insécateur,"['Insecte', 'Vol']",70,110,55,80,80,105,1,500,83.33
123,Jynx,Lippoutou,"['Glace', 'Psy']",65,50,115,35,95,95,1,455,75.83
124,Electabuzz,Élektek,['Électrik'],65,83,95,57,85,105,1,490,81.67
125,Magmar,Magmar,['Feu'],65,95,100,57,85,93,1,495,82.5
126,Pinsir,Scarabrute,['Insecte'],65,125,55,100,70,85,1,500,83.33
127,Tauros,Tauros,['Normal'],75,100,40,95,70,110,1,490,81.67
128,Magikarp,Magicarpe,['Eau'],20,10,15,55,20,80,1,200,33.33
129,Gyarados,Léviator,"['Eau', 'Vol']",95,125,60,79,100,81,1,540,90.0
130,Lapras,Lokhlass,"['Eau', 'Glace']",130,85,85,80,95,60,1,535,89.17
131,Ditto,Métamorph,['Normal'],48,48,48,48,48,48,1,288,48.0
132,Eevee,Évoli,['Normal'],55,55,45,50,65,55,1,325,54.17
133,Vaporeon,Aquali,['Eau'],130,65,110,60,95,65,1,525,87.5
134,Jolteon,Voltali,['Électrik'],65,65,110,60,95,130,1,525,87.5
135,Flareon,Pyroli,['Feu'],65,130,95,60,110,65,1,525,87.5
136,Porygon,Porygon,['Normal'],65,60,85,70,75,40,1,395,65.83
137,Omanyte,Amonita,"['Roche', 'Eau']",35,40,90,100,55,35,1,355,59.17
138,Omastar,Amonistar,"['Roche', 'Eau']",70,60,115,125,70,55,1,495,82.5
139,Kabuto,Kabuto,"['Roche', 'Eau']",30,80,55,90,45,55,1,355,59.17
140,Kabutops,Kabutops,"['Roche', 'Eau']",60,115,65,105,70,80,1,495,82.5
141,Aerodactyl,Ptéra,"['Roche', 'Vol']",80,105,60,65,75,130,1,515,85.83
142,Snorlax,Ronflex,['Normal'],160,110,65,65,110,30,1,540,90.0
143,Articuno,Artikodin,"['Glace', 'Vol']",90,85,95,100,125,85,1,580,96.67
144,Zapdos,Électhor,"['Électrik', 'Vol']",90,90,125,85,90,100,1,580,96.67
145,Moltres,Sulfura,"['Feu', 'Vol']",90,100,125,90,85,90,1,580,96.67
146,Dratini,Minidraco,['Dragon'],41,64,50,45,50,50,1,300,50.0
147,Dragonair,Draco,['Dragon'],61,84,70,65,70,70,1,420,70.0
148,Dragonite,Dracolosse,"['Dragon', 'Vol']",91,134,100,95,100,80,1,600,100.0
149,Mewtwo,Mewtwo,['Psy'],106,110,154,90,90,130,1,680,113.33
150,Mew,Mew,['Psy'],100,100,100,100,100,100,1,600,100.0
