,Names,Noms,Type,PV,Attaque,Attaque Spéciale,Défense,Défense Spéciale,Vitesse,Génération,Somme Stats,Moyenne Statistique
52,Dedenne,Dedenne,"['Électrik', 'Fée']",67,58,81,57,67,101,2,431,71.83
53,Carbink,Strassie,"['Roche', 'Fée']",50,50,50,150,150,50,2,500,83.33
54,Goomy,Mucuscule,['Dragon'],45,50,55,35,75,40,2,300,50.0
55,Sliggoo,Colimucus,['Dragon'],68,75,83,53,113,60,2,452,75.33
56,Goodra,Muplodocus,['Dragon'],90,100,110,70,150,80,2,600,100.0
57,Klefki,Trousselin,"['Acier', 'Fée']",57,80,80,91,87,75,2,470,78.33
58,Phantump,Brocélôme,"['Spectre', 'Plante']",43,70,50,48,60,38,2,309,51.5
59,Trevenant,Desséliande,"['Spectre', 'Plante']",85,110,65,76,82,56,2,474,79.0
60,Pumpkaboo,Pitrouille,"['Spectre', 'Plante']",44,66,44,70,55,56,2,335,55.83
61,Gourgeist,Banshitrouye,"['Spectre', 'Plante']",55,85,58,122,75,99,2,494,82.33
62,Bergmite,Grelaçon,['Glace'],55,69,32,85,35,28,2,304,50.67
63,Avalugg,Séracrawl,['Glace'],95,117,44,184,46,28,2,514,85.67
64,Noibat,Sonistrelle,"['Vol', 'Dragon']",40,30,45,35,40,55,2,245,40.83
65,Noivern,Bruyverne,"['Vol', 'Dragon']",85,70,97,80,80,123,2,535,89.17
66,Xerneas,Xerneas,['Fée'],126,131,131,95,98,99,2,680,113.33
67,Yveltal,Yveltal,"['Ténèbres', 'Vol']",126,131,131,95,98,99,2,680,113.33
68,Zygarde,Zygarde,"['Dragon', 'Sol']",54,100,61,71,85,115,2,486,81.0
69,Diancie,Diancie,"['Roche', 'Fée']",50,100,100,150,150,50,2,600,100.0
70,Hoopa,Hoopa,"['Psy', 'Spectre']",80,110,150,60,130,70,2,600,100.0
71,Volcanion,Volcanion,"['Feu', 'Eau']",80,110,130,120,90,70,2,600,100.0
