,Names,Noms,Type,PV,Attaque,Attaque Spéciale,Défense,Défense Spéciale,Vitesse,Génération,Somme Stats,Moyenne Statistique
70,Corsola,Corayon,"['Eau', 'Roche']",65,55,65,95,95,35,2,410,68.33
71,Remoraid,Rémoraid,['Eau'],35,65,65,35,35,65,2,300,50.0
72,Octillery,Octillery,['Eau'],75,105,105,75,75,45,2,480,80.0
73,Delibird,Cadoizo,"['Glace', 'Vol']",45,55,65,45,45,75,2,330,55.0
74,Mantine,Démanta,"['Eau', 'Vol']",85,40,80,70,140,70,2,485,80.83
75,Skarmory,Airmure,"['Acier', 'Vol']",65,80,40,140,70,70,2,465,77.5
76,Houndour,Malosse,"['Ténèbres', 'Feu']",45,60,80,30,50,65,2,330,55.0
77,Houndoom,Démolosse,"['Ténèbres', 'Feu']",75,90,110,50,80,95,2,500,83.33
78,Kingdra,Hyporoi,"['Eau', 'Dragon']",75,95,95,95,95,85,2,540,90.0
79,Phanpy,Phanpy,['Sol'],90,60,40,60,40,40,2,330,55.0
80,Donphan,Donphan,['Sol'],90,120,60,120,60,50,2,500,83.33
81,Porygon2,Porygon2,['Normal'],85,80,105,90,95,60,2,515,85.83
82,Stantler,Cerfrousse,['Normal'],73,95,85,62,65,85,2,465,77.5
83,Smeargle,Queulorior,['Normal'],55,20,20,35,45,75,2,250,41.67
84,Tyrogue,Debugant,['Combat'],35,35,35,35,35,35,2,210,35.0
85,Hitmontop,Kapoera,['Combat'],50,95,35,95,110,70,2,455,75.83
86,Smoochum,Lippouti,"['Glace', 'Psy']",45,30,85,15,65,65,2,305,50.83
87,Elekid,Élekid,['Électrik'],45,63,65,37,55,95,2,360,60.0
88,Magby,Magby,['Feu'],45,75,70,37,55,83,2,365,60.83
89,Miltank,Écrémeuh,['Normal'],95,80,40,105,70,100,2,490,81.67
90,Blissey,Leuphorie,['Normal'],255,10,75,10,135,55,2,540,90.0
91,Raikou,Raikou,['Électrik'],90,85,115,75,100,115,2,580,96.67
92,Entei,Entei,['Feu'],115,115,90,85,75,100,2,580,96.67
93,Suicune,Suicune,['Eau'],100,75,90,115,115,85,2,580,96.67
94,Larvitar,Embrylex,"['Roche', 'Sol']",50,64,45,50,50,41,2,300,50.0
95,Pupitar,Ymphect,"['Roche', 'Sol']",70,84,65,70,70,51,2,410,68.33
96,Tyranitar,Tyranocif,"['Roche', 'Ténèbres']",100,134,95,110,100,61,2,600,100.0
97,Lugia,Lugia,"['Psy', 'Vol']",106,90,90,130,154,110,2,680,113.33
98,Ho-Oh,Ho-Oh,"['Feu', 'Vol']",106,130,110,90,154,90,2,680,113.33
99,Celebi,Celebi,"['Psy', 'Plante']",100,100,100,100,100,100,2,600,100.0
